line,part,cost,coreprice,qtyonhand,packs,sku
,13461036,8.66,,15,,BKNJ_13461036
,13464007,19.71,,26,,BKNJ_13464007
,13463006,19.71,,25,,BKNJ_13463006
,14122502,66.19,,17,,BKNJ_14122502
,14133124,52.44,,7,,BKNJ_14133124
,13640015,49.3,,125,,BKNJ_13640015
,14120011,51.58,,3,,BKNJ_14120011
,13462051,7.65,,10,,BKNJ_13462051
,13458005,18.29,,3,,BKNJ_13458005
,14122011,93.83,,3,,BKNJ_14122011
,13462066,19.71,,108,,BKNJ_13462066
,14120525,83.36,,3,,BKNJ_14120525
,14125001,56.68,,10,,BKNJ_14125001
,13662525,105.86,,20,,BKNJ_13662525
,14120001,60.62,,19,,BKNJ_14120001
,13461009,13.52,,30,,BKNJ_13461009
,13461019,16.08,,23,,BKNJ_13461019
,13602103,41.59,,2,,BKNJ_13602103
,14120529,72.23,,5,,BKNJ_14120529
,14125002,56.68,,11,,BKNJ_14125002
,13463001,8.3,,155,,BKNJ_13463001
,13462025,19.71,,6,,BKNJ_13462025
,13462045,7.65,,6,,BKNJ_13462045
,13463003,7.41,,44,,BKNJ_13463003
,13465005,19.46,,3,,BKNJ_13465005
,13476011,23.96,,2,,BKNJ_13476011
,14120015,46.85,,15,,BKNJ_14120015
,13862024,138.96,,4,,BKNJ_13862024
,13466013,9.23,,116,,BKNJ_13466013
,13467018,11.34,,49,,BKNJ_13467018
,13476046,75.91,,17,,BKNJ_13476046
,14133029,34.14,,14,,BKNJ_14133029
,13476025,77.03,,2,,BKNJ_13476025
,14122508,50.15,,23,,BKNJ_14122508
,14120004,42.33,,2,,BKNJ_14120004
,13845405,24.68,,28,,BKNJ_13845405
,14120505,39.4,,5,,BKNJ_14120505
,14104508,71.87,,8,,BKNJ_14104508
,14133106,50.93,,2,,BKNJ_14133106
,14104507,71.87,,3,,BKNJ_14104507
,14122509,69.23,,18,,BKNJ_14122509
,14122532,83.21,,1,,BKNJ_14122532
,13846016,18.44,,9,,BKNJ_13846016
,14102506,60.91,,26,,BKNJ_14102506
,14120514,40.77,,1,,BKNJ_14120514
,13642105,17.28,,3,,BKNJ_13642105
,14102008,62.78,,2,,BKNJ_14102008
,14120527,74.31,,2,,BKNJ_14120527
,14120516,62.78,,6,,BKNJ_14120516
,14133161,58.72,,3,,BKNJ_14133161
,14120502,64.99,,9,,BKNJ_14120502
,14122017,48.14,,1,,BKNJ_14122017
,14120506,39.4,,4,,BKNJ_14120506
,14120509,73.11,,2,,BKNJ_14120509
,13851007,35.85,,38,,BKNJ_13851007
,14120504,35.23,,2,,BKNJ_14120504
,14120526,83.36,,4,,BKNJ_14120526
,14120005,44.13,,5,,BKNJ_14120005
,14102007,62.78,,5,,BKNJ_14102007
,14102505,60.91,,18,,BKNJ_14102505
,14133085,42.47,,1,,BKNJ_14133085
,14120522,74.11,,2,,BKNJ_14120522
,14122002,52.3,,2,,BKNJ_14122002
,14122512,50.15,,2,,BKNJ_14122512
,14122521,51.64,,6,,BKNJ_14122521
,14133023,31.43,,5,,BKNJ_14133023
,14122504,47.48,,1,,BKNJ_14122504
,14133017,43.55,,3,,BKNJ_14133017
,14133038,32.58,,1,,BKNJ_14133038
,14133157,70.17,,1,,BKNJ_14133157
,14133006,39.09,,1,,BKNJ_14133006
,14133139,60.05,,1,,BKNJ_14133139
,14133062,51.43,,2,,BKNJ_14133062
,14133094,81.84,,1,,BKNJ_14133094
,14133088,37.02,,4,,BKNJ_14133088
,ETB0027,372.71,,6,,BJDJ_ETB0027
,ETB0020,221.8,,12,,BJDJ_ETB0020
,ETB0015,137.34,,2,,BJDJ_ETB0015
,ETB0017,121.4,,1,,BJDJ_ETB0017
,ETB0021,133.49,,68,,BJDJ_ETB0021
,ETB0037,373.43,,3,,BJDJ_ETB0037
,ETB0009,172.15,,7,,BJDJ_ETB0009
,ETB0019,150.98,,149,,BJDJ_ETB0019
,ETB0008,195.95,,36,,BJDJ_ETB0008
,ETB0025,135.55,,282,,BJDJ_ETB0025
,ETB0024,126.03,,29,,BJDJ_ETB0024
,ETB0014,134.36,,42,,BJDJ_ETB0014
,ETB0013,157.09,,125,,BJDJ_ETB0013
,ETB0007,192.19,,15,,BJDJ_ETB0007
,ETB0022,114.7,,159,,BJDJ_ETB0022
,ETB0012,152.6,,28,,BJDJ_ETB0012
,ETB0040,181.23,,20,,BJDJ_ETB0040
,ETB0011,157.27,,6,,BJDJ_ETB0011
,ETB0010,193.79,,15,,BJDJ_ETB0010
,ETB0006,170.4,,6,,BJDJ_ETB0006
,ETB0005,192.1,,28,,BJDJ_ETB0005
,ETB0004,115.21,,108,,BJDJ_ETB0004
,ETB0002,150.79,,35,,BJDJ_ETB0002
,ETB0003,150.79,,77,,BJDJ_ETB0003
,14133102,39.46,,1,,BKNJ_14133102
,14133018,43.55,,6,,BKNJ_14133018
,14120025,45.06,,1,,BKNJ_14120025
,14104013,37.38,,5,,BKNJ_14104013
,14122522,51.64,,3,,BKNJ_14122522
,14122515,53.52,,0,,BKNJ_14122515
,14120521,74.11,,0,,BKNJ_14120521
,14120515,62.78,,22,,BKNJ_14120515
,14122003,97.19,,3,,BKNJ_14122003
,14133061,51.43,,3,,BKNJ_14133061
,14133005,39.09,,1,,BKNJ_14133005
,14122501,66.19,,23,,BKNJ_14122501
,14133033,43.55,,2,,BKNJ_14133033
,14133076,44.48,,0,,BKNJ_14133076
,14133099,64.79,,2,,BKNJ_14133099
,14133072,34.51,,1,,BKNJ_14133072
,14133049,49.79,,0,,BKNJ_14133049
,14133123,52.44,,3,,BKNJ_14133123
,14133147,50.51,,3,,BKNJ_14133147
,14133075,44.48,,10,,BKNJ_14133075
,14133009,80.28,,4,,BKNJ_14133009
,14133146,39.09,,6,,BKNJ_14133146
,14133521,71.8,,6,,BKNJ_14133521
,14133565,76.63,,9,,BKNJ_14133565
,14133546,66.42,,1,,BKNJ_14133546
,14133543,69.15,,2,,BKNJ_14133543
,14133548,77.69,,0,,BKNJ_14133548
,14135513,71.1,,1,,BKNJ_14135513
,14134017,42.62,,5,,BKNJ_14134017
,14133655,57.26,,23,,BKNJ_14133655
,14135085,38.87,,8,,BKNJ_14135085
,14135086,38.87,,1,,BKNJ_14135086
,14134519,44.04,,10,,BKNJ_14134519
,14135171,62.19,,1,,BKNJ_14135171
,14133539,62.38,,10,,BKNJ_14133539
,14135014,56.38,,3,,BKNJ_14135014
,14133166,39.87,,4,,BKNJ_14133166
,14133532,72.6,,2,,BKNJ_14133532
,14135516,59.05,,2,,BKNJ_14135516
,14133556,59.48,,12,,BKNJ_14133556
,14134607,70.87,,3,,BKNJ_14134607
,14133631,70.87,,1,,BKNJ_14133631
,14133559,74.89,,4,,BKNJ_14133559
,14133658,67.62,,20,,BKNJ_14133658
,14133533,70.72,,1,,BKNJ_14133533
,14133571,90.83,,5,,BKNJ_14133571
,14133537,74.68,,7,,BKNJ_14133537
,14134509,40.66,,21,,BKNJ_14134509
,14133555,64.35,,17,,BKNJ_14133555
,14133544,69.15,,3,,BKNJ_14133544
,14135002,53.45,,2,,BKNJ_14135002
,14133519,67.93,,7,,BKNJ_14133519
,14133547,77.69,,1,,BKNJ_14133547
,14135032,62.35,,3,,BKNJ_14135032
,14133583,90.83,,2,,BKNJ_14133583
,14133561,73.96,,2,,BKNJ_14133561
,14133516,70.3,,1,,BKNJ_14133516
,14133564,78.13,,6,,BKNJ_14133564
,14134166,83.21,,2,,BKNJ_14134166
,14134003,49.64,,3,,BKNJ_14134003
,14133558,66.85,,18,,BKNJ_14133558
,14134097,54.16,,2,,BKNJ_14134097
,14135031,62.35,,2,,BKNJ_14135031
,14135113,68.08,,4,,BKNJ_14135113
,14135048,62.99,,22,,BKNJ_14135048
,14133642,48.56,,10,,BKNJ_14133642
,14134612,66.79,,1,,BKNJ_14134612
,14134042,39.4,,14,,BKNJ_14134042
,14134102,45.77,,4,,BKNJ_14134102
,14135519,52.3,,14,,BKNJ_14135519
,14134018,42.62,,5,,BKNJ_14134018
,14134575,55.97,,3,,BKNJ_14134575
,14134564,76.26,,2,,BKNJ_14134564
,14134526,43.83,,3,,BKNJ_14134526
,14134069,46.49,,1,,BKNJ_14134069
,14133641,48.56,,10,,BKNJ_14133641
,14134555,48.14,,5,,BKNJ_14134555
,14135073,65.21,,0,,BKNJ_14135073
,14134033,35.94,,22,,BKNJ_14134033
,14133579,59.62,,2,,BKNJ_14133579
,14135054,87.23,,1,,BKNJ_14135054
,14134101,45.77,,3,,BKNJ_14134101
,14133557,66.85,,0,,BKNJ_14133557
,14135033,57.82,,11,,BKNJ_14135033
,14134051,50.69,,9,,BKNJ_14134051
,14135017,52.02,,10,,BKNJ_14135017
,14133633,74.68,,14,,BKNJ_14133633
,14135034,57.82,,8,,BKNJ_14135034
,14133656,57.26,,20,,BKNJ_14133656
,14134515,45.33,,5,,BKNJ_14134515
,14134062,46.57,,1,,BKNJ_14134062
,14133593,83.07,,2,,BKNJ_14133593
,14133582,66.96,,16,,BKNJ_14133582
,14134006,70.08,,1,,BKNJ_14134006
,14135082,66.42,,0,,BKNJ_14135082
,14134536,59.12,,2,,BKNJ_14134536
,14135088,49.02,,0,,BKNJ_14135088
,14135166,53.38,,1,,BKNJ_14135166
,14134091,43.48,,0,,BKNJ_14134091
,14134512,45.12,,4,,BKNJ_14134512
,14134041,39.4,,13,,BKNJ_14134041
,14135041,43.63,,1,,BKNJ_14135041
,14135164,58.04,,4,,BKNJ_14135164
,14134098,54.16,,3,,BKNJ_14134098
,14135036,63.55,,4,,BKNJ_14135036
,14134079,67.72,,1,,BKNJ_14134079
,14133522,71.8,,5,,BKNJ_14133522
,14135515,59.05,,0,,BKNJ_14135515
,14133599,78.69,,2,,BKNJ_14133599
,14134528,78.69,,1,,BKNJ_14134528
,14134548,46.28,,12,,BKNJ_14134548
,14134019,38.6,,1,,BKNJ_14134019
,14134613,57.02,,2,,BKNJ_14134613
,14135083,43.83,,1,,BKNJ_14135083
,14134587,60.65,,0,,BKNJ_14134587
,14134105,49.73,,2,,BKNJ_14134105
,14133589,85.37,,9,,BKNJ_14133589
,14134588,60.65,,7,,BKNJ_14134588
,14135052,66.42,,1,,BKNJ_14135052
,14134573,93.92,,32,,BKNJ_14134573
,14134034,35.94,,18,,BKNJ_14134034
,14134589,59.26,,1,,BKNJ_14134589
,14135132,57.68,,1,,BKNJ_14135132
,14134049,66.42,,15,,BKNJ_14134049
,14134552,48.77,,3,,BKNJ_14134552
,14133528,71.87,,4,,BKNJ_14133528
,14133662,68.8,,0,,BKNJ_14133662
,14134138,34.36,,3,,BKNJ_14134138
,14134569,56.8,,2,,BKNJ_14134569
,14134642,70.08,,2,,BKNJ_14134642
,14135018,52.02,,0,,BKNJ_14135018
,14135013,56.38,,0,,BKNJ_14135013
,14134087,45.98,,10,,BKNJ_14134087
,14134546,64.79,,0,,BKNJ_14134546
,14135001,53.45,,3,,BKNJ_14135001
,14133585,93.62,,4,,BKNJ_14133585
,14133501,68.94,,3,,BKNJ_14133501
,14135137,58.97,,2,,BKNJ_14135137
,14134044,35.38,,5,,BKNJ_14134044
,14134506,40.77,,9,,BKNJ_14134506
,14134088,45.98,,2,,BKNJ_14134088
,14134028,38.96,,2,,BKNJ_14134028
,14134059,46.15,,7,,BKNJ_14134059
,14133657,67.62,,13,,BKNJ_14133657
,14134522,51.72,,2,,BKNJ_14134522
,14135188,61.19,,3,,BKNJ_14135188
,14133527,71.87,,4,,BKNJ_14133527
,14134077,68.59,,3,,BKNJ_14134077
,14133572,90.83,,2,,BKNJ_14133572
,14133545,66.42,,0,,BKNJ_14133545
,14134092,43.48,,3,,BKNJ_14134092
,14135062,53.66,,2,,BKNJ_14135062
,14133634,74.68,,8,,BKNJ_14133634
,14133563,78.13,,2,,BKNJ_14133563
,14134072,79.63,,4,,BKNJ_14134072
,14134572,50.15,,2,,BKNJ_14134572
,14134026,35.59,,2,,BKNJ_14134026
,14134024,32.06,,2,,BKNJ_14134024
,14135087,49.02,,2,,BKNJ_14135087
,14133586,93.62,,3,,BKNJ_14133586
,14134071,79.63,,2,,BKNJ_14134071
,14134075,68.08,,4,,BKNJ_14134075
,14134043,35.38,,7,,BKNJ_14134043
,14135179,70.6,,6,,BKNJ_14135179
,14134023,32.06,,2,,BKNJ_14134023
,14133581,66.96,,14,,BKNJ_14133581
,14134016,45.41,,1,,BKNJ_14134016
,14134066,53.16,,1,,BKNJ_14134066
,14134618,66.79,,16,,BKNJ_14134618
,14135114,68.08,,3,,BKNJ_14135114
,14134074,66,,1,,BKNJ_14134074
,14134514,51.8,,4,,BKNJ_14134514
,14133538,74.68,,6,,BKNJ_14133538
,14135064,37.8,,3,,BKNJ_14135064
,14134594,58.25,,1,,BKNJ_14134594
,14134076,68.08,,2,,BKNJ_14134076
,14134578,61.19,,3,,BKNJ_14134578
,14135067,61.91,,14,,BKNJ_14135067
,14134586,59.62,,0,,BKNJ_14134586
,14135162,58.7,,25,,BKNJ_14135162
,14134584,61.19,,5,,BKNJ_14134584
,14134068,44.76,,8,,BKNJ_14134068
,14134531,70.95,,7,,BKNJ_14134531
,14134106,49.73,,3,,BKNJ_14134106
,14134563,76.26,,2,,BKNJ_14134563
,14133653,68.8,,1,,BKNJ_14133653
,14134032,48.56,,0,,BKNJ_14134032
,14134505,40.77,,6,,BKNJ_14134505
,14134061,46.57,,0,,BKNJ_14134061
,14134525,43.83,,2,,BKNJ_14134525
,14134562,57.1,,2,,BKNJ_14134562
,14134516,45.33,,9,,BKNJ_14134516
,14135068,61.91,,20,,BKNJ_14135068
,14135065,87.95,,5,,BKNJ_14135065
,14134535,59.12,,2,,BKNJ_14134535
,14134052,50.69,,7,,BKNJ_14134052
,14133526,70.6,,8,,BKNJ_14133526
,14133162,58.72,,7,,BKNJ_14133162
,14134549,63.85,,8,,BKNJ_14134549
,14134614,57.02,,3,,BKNJ_14134614
,14134146,60.27,,2,,BKNJ_14134146
,14134521,51.72,,2,,BKNJ_14134521
,14134031,48.56,,9,,BKNJ_14134031
,14133535,63.43,,1,,BKNJ_14133535
,14133566,76.63,,2,,BKNJ_14133566
,14135026,64.79,,1,,BKNJ_14135026
,14134532,70.95,,3,,BKNJ_14134532
,14133503,73.89,,3,,BKNJ_14133503
,14135044,41.04,,1,,BKNJ_14135044
,14134067,44.76,,10,,BKNJ_14134067
,14134039,41.19,,13,,BKNJ_14134039
,14134054,45.84,,2,,BKNJ_14134054
,14135022,60.7,,1,,BKNJ_14135022
,14134037,53.16,,4,,BKNJ_14134037
,14134165,83.21,,3,,BKNJ_14134165
,14134547,46.28,,22,,BKNJ_14134547
,14134038,53.16,,2,,BKNJ_14134038
,14134608,70.87,,3,,BKNJ_14134608
,14134085,56.6,,1,,BKNJ_14134085
,14134609,58.76,,2,,BKNJ_14134609
,14135501,45.45,,23,,BKNJ_14135501
,14135076,57.02,,7,,BKNJ_14135076
,14134545,64.79,,9,,BKNJ_14134545
,14135173,63.49,,3,,BKNJ_14135173
,14134617,66.79,,10,,BKNJ_14134617
,14135025,64.79,,1,,BKNJ_14135025
,14134574,93.92,,23,,BKNJ_14134574
,14135035,63.55,,1,,BKNJ_14135035
,14135047,62.99,,20,,BKNJ_14135047
,14135187,61.19,,8,,BKNJ_14135187
,14135511,79.63,,1,,BKNJ_14135511
,14135161,58.7,,17,,BKNJ_14135161
,14135075,57.02,,5,,BKNJ_14135075
,14135043,41.04,,3,,BKNJ_14135043
,14135063,37.8,,2,,BKNJ_14135063
,14135125,52.02,,2,,BKNJ_14135125
,14135138,58.97,,1,,BKNJ_14135138
,14135098,61.76,,1,,BKNJ_14135098
,14135583,66.07,,2,,BKNJ_14135583
,14135538,60.55,,10,,BKNJ_14135538
,14139045,41.11,,2,,BKNJ_14139045
,14135539,57.68,,4,,BKNJ_14135539
,14135541,54.74,,4,,BKNJ_14135541
,14135625,58.17,,1,,BKNJ_14135625
,14135529,49.57,,2,,BKNJ_14135529
,14138517,70.87,,1,,BKNJ_14138517
,14138008,38.1,,5,,BKNJ_14138008
,14135562,67.36,,2,,BKNJ_14135562
,14135126,52.02,,1,,BKNJ_14135126
,14135573,69.45,,1,,BKNJ_14135573
,14135558,77.69,,2,,BKNJ_14135558
,14135127,61.64,,1,,BKNJ_14135127
,14135557,77.69,,2,,BKNJ_14135557
,14135131,57.68,,4,,BKNJ_14135131
,14135502,45.45,,25,,BKNJ_14135502
,14135128,61.64,,2,,BKNJ_14135128
,14135163,58.04,,4,,BKNJ_14135163
,14135159,63.55,,1,,BKNJ_14135159
,14135512,79.63,,3,,BKNJ_14135512
,14135189,40.97,,8,,BKNJ_14135189
,14139029,45.48,,1,,BKNJ_14139029
,14135223,62.92,,6,,BKNJ_14135223
,14135119,64.63,,6,,BKNJ_14135119
,14135172,62.19,,2,,BKNJ_14135172
,14135523,60.13,,2,,BKNJ_14135523
,14135174,63.49,,2,,BKNJ_14135174
,14139012,40.59,,2,,BKNJ_14139012
,14135599,75.04,,5,,BKNJ_14135599
,14135537,60.55,,17,,BKNJ_14135537
,14135598,70.72,,2,,BKNJ_14135598
,14135577,84.36,,2,,BKNJ_14135577
,14139035,42.83,,14,,BKNJ_14139035
,14135623,48.42,,3,,BKNJ_14135623
,14135527,58.17,,5,,BKNJ_14135527
,14135588,63.13,,1,,BKNJ_14135588
,14135636,58.53,,3,,BKNJ_14135636
,14135584,66.07,,3,,BKNJ_14135584
,14138007,38.1,,6,,BKNJ_14138007
,14139031,42.83,,2,,BKNJ_14139031
,14135545,65.87,,1,,BKNJ_14135545
,14138012,45.33,,5,,BKNJ_14138012
,14135533,59.75,,2,,BKNJ_14135533
,14135628,55.72,,7,,BKNJ_14135628
,14135532,52.79,,3,,BKNJ_14135532
,14135534,59.75,,3,,BKNJ_14135534
,14139059,45.06,,1,,BKNJ_14139059
,14138016,38.45,,3,,BKNJ_14138016
,14135548,63.97,,2,,BKNJ_14135548
,14135578,84.36,,1,,BKNJ_14135578
,14138019,39.46,,1,,BKNJ_14138019
,14135542,54.74,,4,,BKNJ_14135542
,14135544,43.11,,3,,BKNJ_14135544
,14139038,38.04,,7,,BKNJ_14139038
,14138011,45.33,,5,,BKNJ_14138011
,14139008,40.46,,1,,BKNJ_14139008
,14135571,65.21,,14,,BKNJ_14135571
,14139032,42.83,,2,,BKNJ_14139032
,14139048,36.26,,8,,BKNJ_14139048
,14139056,73.39,,10,,BKNJ_14139056
,14135536,64.07,,1,,BKNJ_14135536
,14138518,70.87,,4,,BKNJ_14138518
,14138015,38.45,,3,,BKNJ_14138015
,14138514,44.85,,9,,BKNJ_14138514
,14138515,49.79,,4,,BKNJ_14138515
,14138032,41.47,,1,,BKNJ_14138032
,14139505,45.77,,1,,BKNJ_14139505
,14139055,73.39,,15,,BKNJ_14139055
,14139011,40.59,,2,,BKNJ_14139011
,14139067,58.1,,3,,BKNJ_14139067
,14138512,82.07,,2,,BKNJ_14138512
,14138526,82.29,,2,,BKNJ_14138526
,14139009,38.52,,10,,BKNJ_14139009
,14140048,36.66,,4,,BKNJ_14140048
,14140059,38.6,,5,,BKNJ_14140059
,14140031,42.9,,1,,BKNJ_14140031
,14140036,36.09,,2,,BKNJ_14140036
,14140042,31.5,,5,,BKNJ_14140042
,14139525,46.7,,2,,BKNJ_14139525
,14139037,38.04,,13,,BKNJ_14139037
,14140051,42.12,,1,,BKNJ_14140051
,14140063,48.71,,30,,BKNJ_14140063
,14140066,38.74,,1,,BKNJ_14140066
,14140015,31.5,,2,,BKNJ_14140015
,14139508,48.49,,4,,BKNJ_14139508
,14140045,37.96,,7,,BKNJ_14140045
,14140014,32.51,,3,,BKNJ_14140014
,14139527,81.78,,2,,BKNJ_14139527
,14139528,81.78,,1,,BKNJ_14139528
,14139531,81.78,,1,,BKNJ_14139531
,14140128,83.21,,12,,BKNJ_14140128
,14139533,46.49,,1,,BKNJ_14139533
,14140009,30.91,,1,,BKNJ_14140009
,14140043,30.43,,16,,BKNJ_14140043
,14140054,34.72,,18,,BKNJ_14140054
,14139503,38.06,,7,,BKNJ_14139503
,14140539,63.49,,9,,BKNJ_14140539
,14139524,49.57,,1,,BKNJ_14139524
,14140034,46.2,,20,,BKNJ_14140034
,14140537,54.23,,41,,BKNJ_14140537
,14140079,39.6,,3,,BKNJ_14140079
,14140516,71.16,,1,,BKNJ_14140516
,14140086,34.79,,46,,BKNJ_14140086
,14140514,48.85,,22,,BKNJ_14140514
,14140087,45.62,,3,,BKNJ_14140087
,14140097,55.44,,26,,BKNJ_14140097
,14140531,67.22,,11,,BKNJ_14140531
,14140103,42.68,,2,,BKNJ_14140103
,14140519,68.44,,6,,BKNJ_14140519
,14140089,32.71,,33,,BKNJ_14140089
,14140125,59.05,,2,,BKNJ_14140125
,14140111,63.77,,3,,BKNJ_14140111
,14140068,43.76,,20,,BKNJ_14140068
,14140117,44.76,,1,,BKNJ_14140117
,ACT637,56.35,,5,,DKVD_ACT637
,ACT1697,66.76,,86,,DKVD_ACT1697
,ACT1354C,58.26,,13,,DKVD_ACT1354C
,ACT1815,65.82,,5,,DKVD_ACT1815
,ACT636,50.7,,15,,DKVD_ACT636
,ACT726,68.64,,5,,DKVD_ACT726
,ACT1589,79.03,,15,,DKVD_ACT1589
,ACT716,50.7,,6,,DKVD_ACT716
,ACT1334B,70.52,,12,,DKVD_ACT1334B
,ACT648,54.75,,2,,DKVD_ACT648
,ACT607,56.35,,5,,DKVD_ACT607
,ACT1326A,62.04,,18,,DKVD_ACT1326A
,ACT587,45.31,,6,,DKVD_ACT587
,ACT1454,58.26,,10,,DKVD_ACT1454
,ACT579,60.14,,6,,DKVD_ACT579
,ACT576,61.08,,9,,DKVD_ACT576
,ACT505,66.11,,4,,DKVD_ACT505
,ACT906C,61.08,,67,,DKVD_ACT906C
,ACT482,61.37,,10,,DKVD_ACT482
,ACT884A,62.04,,38,,DKVD_ACT884A
,ACT858,62.97,,14,,DKVD_ACT858
,ACT829,65.82,,15,,DKVD_ACT829
,ACT473,50.97,,5,,DKVD_ACT473
,ACT803,56.64,,6,,DKVD_ACT803
,ACT782,51.63,,12,,DKVD_ACT782
,ACT741,52.59,,45,,DKVD_ACT741
,ACT1301,73.22,,5,,DKVD_ACT1301
,ACT471,57.31,,31,,DKVD_ACT471
,ACT2042,51.25,,7,,DKVD_ACT2042
,ACT1411,98.88,,121,,DKVD_ACT1411
,ACT1401,71.48,,39,,DKVD_ACT1401
,14140548,45.12,,14,,BKNJ_14140548
,14140105,80.48,,8,,BKNJ_14140105
,14140553,48.65,,2,,BKNJ_14140553
,14142538,55.46,,2,,BKNJ_14142538
,14140561,45.92,,16,,BKNJ_14140561
,14142085,31.86,,4,,BKNJ_14142085
,14140136,47.48,,2,,BKNJ_14140136
,14142189,48.85,,5,,BKNJ_14142189
,14142076,40.66,,2,,BKNJ_14142076
,14140582,60.72,,29,,BKNJ_14140582
,14142152,40.53,,5,,BKNJ_14142152
,14140126,59.05,,2,,BKNJ_14140126
,14142048,28.77,,1,,BKNJ_14142048
,14140092,59.18,,1,,BKNJ_14140092
,14140076,42.47,,10,,BKNJ_14140076
,14142151,40.53,,8,,BKNJ_14142151
,14140551,52.87,,35,,BKNJ_14140551
,14140562,45.92,,21,,BKNJ_14140562
,14142179,53.52,,15,,BKNJ_14142179
,14142071,73.47,,3,,BKNJ_14142071
,14142135,49.08,,18,,BKNJ_14142135
,14140073,39.75,,25,,BKNJ_14140073
,14140554,48.65,,2,,BKNJ_14140554
,14142106,37.17,,2,,BKNJ_14142106
,14142091,53.16,,1,,BKNJ_14142091
,14140542,43.11,,2,,BKNJ_14140542
,14140573,53.81,,4,,BKNJ_14140573
,14142126,45.48,,14,,BKNJ_14142126
,14140517,59.41,,4,,BKNJ_14140517
,14142122,50.27,,4,,BKNJ_14142122
,14142051,40.66,,30,,BKNJ_14142051
,14140114,41.96,,8,,BKNJ_14140114
,14142515,75.9,,3,,BKNJ_14142515
,14142527,39.17,,1,,BKNJ_14142527
,14142047,28.77,,1,,BKNJ_14142047
,14140568,48.49,,18,,BKNJ_14140568
,14142518,73.89,,1,,BKNJ_14142518
,14142517,73.89,,2,,BKNJ_14142517
,14142154,45.27,,1,,BKNJ_14142154
,14142079,45.77,,3,,BKNJ_14142079
,14142073,76.98,,1,,BKNJ_14142073
,14142011,36.51,,7,,BKNJ_14142011
,14142119,44.34,,3,,BKNJ_14142119
,14140576,49.64,,5,,BKNJ_14140576
,14142186,57.97,,18,,BKNJ_14142186
,14142147,75.19,,2,,BKNJ_14142147
,14142533,71.87,,4,,BKNJ_14142533
,14142161,57.1,,3,,BKNJ_14142161
,14142557,67.87,,14,,BKNJ_14142557
,14142094,31.79,,2,,BKNJ_14142094
,14142149,77.47,,9,,BKNJ_14142149
,14142114,67.44,,1,,BKNJ_14142114
,14142077,62.62,,2,,BKNJ_14142077
,14142173,62.92,,1,,BKNJ_14142173
,14142107,49.14,,2,,BKNJ_14142107
,14140545,56.18,,3,,BKNJ_14140545
,14142111,43.91,,14,,BKNJ_14142111
,14142183,54.53,,19,,BKNJ_14142183
,14142174,62.92,,3,,BKNJ_14142174
,14142523,77.47,,3,,BKNJ_14142523
,14142177,52.08,,35,,BKNJ_14142177
,14142162,57.1,,7,,BKNJ_14142162
,14142148,75.19,,4,,BKNJ_14142148
,14142157,47,,18,,BKNJ_14142157
,14142012,36.51,,4,,BKNJ_14142012
,14142143,64.69,,17,,BKNJ_14142143
,14140581,60.72,,26,,BKNJ_14140581
,14140574,53.81,,5,,BKNJ_14140574
,14140571,66.85,,55,,BKNJ_14140571
,14142138,57.33,,7,,BKNJ_14142138
,14142145,54.09,,19,,BKNJ_14142145
,14142125,45.48,,12,,BKNJ_14142125
,14142546,59.18,,9,,BKNJ_14142546
,14142121,50.27,,2,,BKNJ_14142121
,14142112,43.91,,13,,BKNJ_14142112
,14142529,72.82,,2,,BKNJ_14142529
,14142129,57.17,,2,,BKNJ_14142129
,14142171,38.52,,1,,BKNJ_14142171
,14142093,31.79,,2,,BKNJ_14142093
,14142124,43.32,,2,,BKNJ_14142124
,14142102,57.97,,2,,BKNJ_14142102
,14142155,47.72,,2,,BKNJ_14142155
,14144014,33,,1,,BKNJ_14144014
,14142123,43.32,,2,,BKNJ_14142123
,14142144,64.69,,20,,BKNJ_14142144
,14142526,63.85,,5,,BKNJ_14142526
,14142156,47.72,,4,,BKNJ_14142156
,14142172,26.97,,1,,BKNJ_14142172
,14142169,49.29,,3,,BKNJ_14142169
,14142137,57.33,,8,,BKNJ_14142137
,14142109,39.03,,13,,BKNJ_14142109
,14142534,71.87,,8,,BKNJ_14142534
,14142101,57.97,,2,,BKNJ_14142101
,14142136,49.08,,21,,BKNJ_14142136
,14144042,33.58,,23,,BKNJ_14144042
,14142184,54.53,,23,,BKNJ_14142184
,14142185,57.97,,12,,BKNJ_14142185
,14142153,45.27,,1,,BKNJ_14142153
,14142131,52.48,,3,,BKNJ_14142131
,14142542,49.37,,2,,BKNJ_14142542
,14142082,54.23,,3,,BKNJ_14142082
,14142158,47,,16,,BKNJ_14142158
,14143101,33.58,,1,,BKNJ_14143101
,14144011,38.1,,3,,BKNJ_14144011
,14142545,59.18,,15,,BKNJ_14142545
,14144098,36.73,,1,,BKNJ_14144098
,14142555,43.76,,40,,BKNJ_14142555
,14144013,33,,6,,BKNJ_14144013
,14142571,38.67,,22,,BKNJ_14142571
,14142588,41.9,,4,,BKNJ_14142588
,14142558,67.87,,20,,BKNJ_14142558
,14144044,33.64,,3,,BKNJ_14144044
,14142582,36.66,,5,,BKNJ_14142582
,14142599,45.69,,17,,BKNJ_14142599
,14142601,68.44,,31,,BKNJ_14142601
,14142589,42.76,,2,,BKNJ_14142589
,14143102,33.58,,1,,BKNJ_14143102
,14143011,38.04,,4,,BKNJ_14143011
